综合诊断：6.0分 打败了69%的股票！,增持,8.4,3.1,6.3,7.0,4.8,000099,中信海直
,综合诊断：5.2分 打败了27%的股票！,中性,3.8,4.8,6.3,7.4,5.7,000096,广聚能源
,综合诊断：4.5分 打败了8%的股票！,减持,2.6,2.7,4.7,7.2,6.9,000090,天健集团
,综合诊断：4.2分 打败了3%的股票！,减持,3.9,1.9,4.9,7.3,4.7,002192,融捷股份
,综合诊断：5.8分 打败了58%的股票！,中性,9.0,3.1,5.0,4.8,4.9,603648,畅联股份
,综合诊断：5.1分 打败了22%的股票！,中性,7.6,2.6,5.5,4.4,4.1,603139,康惠制药
,综合诊断：6.2分 打败了78%的股票！,增持,7.5,6.4,6.3,4.9,5.1,603138,海量数据
,综合诊断：6.0分 打败了72%的股票！,增持,6.7,5.8,7.3,7.2,4.1,002193,如意集团
,综合诊断：6.1分 打败了74%的股票！,增持,8.6,4.0,5.0,4.0,6.2,603136,天目湖
,综合诊断：5.9分 打败了65%的股票！,中性,7.6,4.8,5.0,4.2,6.1,603131,上海沪工
,综合诊断：6.0分 打败了71%的股票！,增持,6.8,3.8,6.6,7.9,5.6,600781,辅仁药业
,综合诊断：5.9分 打败了65%的股票！,中性,7.1,4.4,5.5,4.5,6.6,603133,碳元科技
,综合诊断：6.2分 打败了79%的股票！,增持,7.8,6.2,5.0,6.5,4.8,600780,通宝能源
,综合诊断：5.3分 打败了32%的股票！,中性,5.1,4.2,5.5,7.3,5.5,002196,方正电机
,综合诊断：5.8分 打败了61%的股票！,中性,6.6,4.7,4.8,8.4,5.2,002197,证通电子
,综合诊断：6.3分 打败了84%的股票！,增持,8.0,4.9,6.4,8.2,4.7,300239,东宝生物
,综合诊断：4.4分 打败了5%的股票！,减持,3.5,3.6,5.8,7.3,4.3,002194,武汉凡谷
,综合诊断：6.2分 打败了78%的股票！,增持,6.9,5.0,5.5,8.4,5.9,002195,二三四五
,综合诊断：6.1分 打败了75%的股票！,增持,7.4,4.8,4.9,7.5,5.6,300056,三维丝
,综合诊断：6.1分 打败了74%的股票！,增持,7.3,4.4,5.4,7.3,6.1,300252,金信诺
,综合诊断：6.4分 打败了87%的股票！,增持,7.0,3.6,7.4,8.4,6.4,300253,卫宁健康
,综合诊断：6.1分 打败了74%的股票！,增持,7.8,5.5,5.4,7.3,4.5,300250,初灵信息
,综合诊断：5.8分 打败了62%的股票！,中性,6.7,4.4,6.3,7.2,5.0,300057,万顺股份
,综合诊断：5.7分 打败了56%的股票！,中性,7.6,3.1,5.7,7.0,4.9,300256,星星科技
,综合诊断：7.0分 打败了98%的股票！,买入,8.0,6.0,9.5,7.8,4.9,300257,开山股份
,综合诊断：5.8分 打败了62%的股票！,中性,6.3,3.4,6.5,8.3,5.5,300254,仟源医药
,综合诊断：6.2分 打败了78%的股票！,增持,7.4,3.9,6.7,8.3,5.4,300255,常山药业
,综合诊断：5.8分 打败了61%的股票！,中性,4.4,4.1,7.7,8.0,7.0,300258,精锻科技
,综合诊断：6.0分 打败了72%的股票！,增持,7.2,3.6,6.8,8.5,5.1,300259,新天科技
,综合诊断：3.9分 打败了1%的股票！,卖出,2.2,3.7,4.4,7.9,4.2,002198,嘉应制药
,综合诊断：6.4分 打败了87%的股票！,增持,7.1,5.1,6.6,4.4,7.1,603737,三棵树
,综合诊断：5.4分 打败了38%的股票！,中性,5.2,5.0,6.8,4.2,5.8,300421,力星股份
,综合诊断：5.8分 打败了62%的股票！,中性,7.4,2.0,7.8,4.9,5.9,300496,中科创达
,综合诊断：5.6分 打败了49%的股票！,中性,5.1,4.5,5.8,6.3,6.6,601866,中远海发
,综合诊断：4.9分 打败了17%的股票！,减持,5.2,3.9,6.6,3.8,4.7,300490,华自科技
,综合诊断：5.5分 打败了40%的股票！,中性,8.6,3.5,4.6,3.8,4.6,300491,通合科技
,综合诊断：6.3分 打败了85%的股票！,增持,6.9,7.9,7.3,4.0,4.8,300492,山鼎设计
,综合诊断：5.9分 打败了67%的股票！,中性,7.0,4.8,5.7,4.4,6.1,603730,岱美股份
,综合诊断：6.4分 打败了88%的股票！,增持,7.2,7.3,5.5,3.0,6.7,300498,温氏股份
,综合诊断：6.3分 打败了84%的股票！,增持,8.5,4.9,8.0,3.8,4.9,300423,鲁亿通
,综合诊断：5.7分 打败了55%的股票！,中性,6.5,5.9,5.5,3.5,5.7,603738,泰晶科技
,综合诊断：5.9分 打败了64%的股票！,中性,7.8,3.5,6.6,4.8,5.6,603229,奥翔药业
,综合诊断：6.1分 打败了74%的股票！,增持,6.1,5.2,6.6,4.7,7.1,603228,景旺电子
,综合诊断：5.2分 打败了29%的股票！,中性,5.2,4.3,5.5,6.1,5.3,000625,长安汽车
,综合诊断：5.7分 打败了51%的股票！,中性,7.6,4.4,4.9,7.0,4.3,000622,恒立实业
,综合诊断：5.8分 打败了57%的股票！,中性,7.5,4.6,6.0,4.8,5.2,603223,恒通股份
,综合诊断：4.4分 打败了5%的股票！,减持,2.2,4.9,5.5,4.8,6.0,603222,济民制药
,综合诊断：5.5分 打败了40%的股票！,中性,5.6,4.0,6.4,3.8,6.8,603225,新凤鸣
,405000,405
,综合诊断：5.7分 打败了55%的股票！,中性,6.5,5.7,5.6,4.4,5.3,603227,雪峰科技
,综合诊断：5.7分 打败了56%的股票！,中性,7.1,4.0,5.5,3.5,6.5,603226,菲林格尔
,综合诊断：5.5分 打败了43%的股票！,中性,6.3,4.3,5.8,7.2,4.5,000918,嘉凯城
,综合诊断：6.9分 打败了97%的股票！,增持,9.0,6.3,6.1,3.8,6.4,300427,红相电力
,综合诊断：5.0分 打败了19%的股票！,中性,5.3,4.4,5.5,3.5,5.4,603919,金徽酒
,综合诊断：5.7分 打败了51%的股票！,中性,6.5,4.0,5.5,7.2,5.5,601388,怡球资源
,综合诊断：6.3分 打败了82%的股票！,增持,8.6,4.4,5.5,4.2,6.4,603917,合力科技
,综合诊断：6.2分 打败了80%的股票！,增持,8.6,5.5,5.9,4.4,4.7,603916,苏博特
,综合诊断：5.0分 打败了19%的股票！,中性,4.2,3.0,7.4,3.5,6.6,300426,唐德影视
,综合诊断：5.9分 打败了65%的股票！,中性,7.6,3.2,6.1,4.2,6.5,603912,佳力图
,综合诊断：4.3分 打败了5%的股票！,减持,3.7,2.7,5.7,4.9,5.2,300682,朗新科技
,综合诊断：5.7分 打败了55%的股票！,中性,8.6,4.3,4.6,3.8,4.8,300617,安靠智电
,综合诊断：5.3分 打败了32%的股票！,中性,4.4,3.4,8.3,4.7,6.3,300685,艾德生物
,综合诊断：6.7分 打败了94%的股票！,增持,8.2,5.4,5.9,4.7,7.4,002815,崇达技术
,综合诊断：5.1分 打败了23%的股票！,中性,4.2,5.4,4.5,4.9,6.4,300687,赛意信息
,综合诊断：3.3分 打败了0%的股票！,卖出,3.4,3.1,1.7,3.5,4.3,300686,智动力
,综合诊断：5.2分 打败了28%的股票！,中性,5.8,4.7,5.0,3.0,5.8,603355,莱克电气
,综合诊断：5.5分 打败了45%的股票！,中性,5.8,5.6,6.4,4.4,4.9,603822,嘉澳环保
,综合诊断：6.3分 打败了83%的股票！,增持,7.5,5.2,6.4,4.0,6.6,603357,设计总院
,综合诊断：5.7分 打败了51%的股票！,中性,8.2,3.7,5.8,3.2,5.1,603826,坤彩科技
,综合诊断：5.8分 打败了58%的股票！,中性,8.0,3.5,5.5,3.5,6.2,603825,华扬联众
,综合诊断：5.1分 打败了23%的股票！,中性,5.4,3.1,5.5,7.2,5.1,000911,南宁糖业
,综合诊断：5.1分 打败了24%的股票！,中性,4.3,2.2,6.2,8.4,6.5,000977,浪潮信息
,综合诊断：6.4分 打败了88%的股票！,增持,9.0,5.1,5.0,3.8,6.1,603829,洛凯股份
,综合诊断：5.4分 打败了35%的股票！,中性,4.6,6.6,5.5,4.0,5.7,603828,柯利达
,综合诊断：5.6分 打败了48%的股票！,中性,7.4,3.7,5.5,4.0,5.7,603359,东珠景观
,综合诊断：6.2分 打败了81%的股票！,增持,8.1,5.8,5.5,4.4,5.3,603358,华达科技
,综合诊断：5.2分 打败了27%的股票！,中性,4.8,5.6,4.4,6.8,5.2,000913,钱江摩托
,综合诊断：6.0分 打败了83%的股票！,增持,5.5,5.3,7.7,6.2,6.2,000916,华北高速
,综合诊断：4.4分 打败了6%的股票！,减持,4.6,2.1,5.2,7.0,4.4,000917,电广传媒
